SOURCE,SOURCE_BRO,TARGET,TARGET_BRO,MODE,EPOCHS,ITER,SIZE,seconds,sourcecpu,sourcemem,targetcpu,targetmem
10.0.0.1,True,10.0.0.2,True,seq,100,3500,6,315.61,14.488202247191008,50888.85393258427,13.859920318725102,45904.717131474106
10.0.0.1,True,10.0.0.2,True,seq,100,3500,6,315.64,14.556329588014972,52566.786516853936,13.915776892430282,47857.89641434263
10.0.0.1,True,10.0.0.2,True,seq,100,3500,6,315.61,14.090187265917596,53377.9925093633,13.906892430278885,48597.035856573704
10.0.0.1,True,10.0.0.2,True,seq,100,3500,6,315.59,13.947078651685391,53468.0,13.640199203187246,48704.0
10.0.0.1,True,10.0.0.2,True,seq,100,3500,6,315.66,13.9187265917603,53532.59925093633,13.649721115537842,48704.0
10.0.0.1,True,10.0.0.2,True,seq,100,3500,6,315.63,13.891385767790263,53692.0,13.640597609561752,48704.0
10.0.0.1,True,10.0.0.2,True,seq,100,3500,6,315.61,13.974307116104873,53692.0,13.641115537848597,48704.0
10.0.0.1,True,10.0.0.2,True,seq,100,3500,6,315.66,13.934232209737832,53692.0,13.649760956175292,48704.0
10.0.0.1,True,10.0.0.2,True,seq,100,3500,6,315.66,13.953670411985021,53692.0,13.623466135458157,48704.0
10.0.0.1,True,10.0.0.2,True,seq,100,3500,6,315.54,13.93539325842697,53692.0,13.600836653386445,48704.0
10.0.0.1,True,10.0.0.2,True,seq,100,3500,6,315.66,13.957228464419481,53692.0,13.598047808764933,48704.0
10.0.0.1,True,10.0.0.2,True,seq,100,3500,6,315.61,13.954344569288393,53692.0,13.67306772908366,48704.0
10.0.0.1,True,10.0.0.2,True,seq,100,3500,6,315.44,13.915543071161043,53692.0,13.67776892430278,48704.0
10.0.0.1,True,10.0.0.2,True,seq,100,3500,6,315.5,13.993820224719096,53692.0,13.69816733067729,48704.0
10.0.0.1,True,10.0.0.2,True,seq,100,3500,6,315.68,13.869662921348311,53692.0,13.677011952191226,48704.0
10.0.0.1,True,10.0.0.2,True,seq,100,3500,6,315.45,13.988052434456929,53692.0,13.637609561752981,48704.0
10.0.0.1,True,10.0.0.2,True,seq,100,3500,6,315.59,13.973895131086145,53692.0,13.693426294820712,48819.53784860558
10.0.0.1,True,10.0.0.2,True,seq,100,3500,6,315.58,13.94314606741573,53692.0,13.680398406374497,48936.0
10.0.0.1,True,10.0.0.2,True,seq,100,3500,6,315.62,13.973670411985019,53692.0,13.666015936254981,48936.0
10.0.0.1,True,10.0.0.2,True,seq,100,3500,6,315.65,13.87973782771535,53692.0,13.682988047808765,48936.0
10.0.0.1,True,10.0.0.2,True,seq,100,3500,6,315.61,13.939588014981268,53692.0,13.693705179282858,48936.0
