SOURCE,SOURCE_BRO,TARGET,TARGET_BRO,MODE,EPOCHS,ITER,SIZE,seconds,sourcecpu,sourcemem,targetcpu,targetmem
10.0.0.1,True,10.0.0.2,True,par,100,600,4,1.98,20.295,52684.0,11.42,49500.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.01,18.81,67072.0,12.5,58608.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.01,19.0,81856.0,13.905,64416.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,1.98,19.375,96244.0,14.0,65208.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,1.99,19.305,110368.0,14.45,65208.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,1.95,19.425,124096.0,14.0,65472.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,1.98,19.799999999999997,138484.0,14.9,65736.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.05,19.8,152476.0,13.96,66132.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.02,19.8,167788.0,14.455,66660.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,1.99,20.79,183100.0,14.46,66924.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,1.99,18.880000000000003,197620.0,15.0,67056.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.02,19.305,211876.0,13.905,67320.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,1.95,19.869999999999997,226264.0,13.455,67584.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,1.99,19.865000000000002,240388.0,14.45,67848.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,1.97,20.295,254776.0,14.355,68112.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.0,21.0,269428.0,14.95,68244.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,1.96,18.880000000000003,283684.0,13.86,68772.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.01,19.43,297544.0,13.5,69168.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,1.96,19.375,311536.0,14.5,69300.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.01,19.93,327078.0,13.455,69432.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.01,19.43,341960.0,14.85,69696.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,1.97,20.79,356348.0,14.5,69960.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.01,19.305,370472.0,14.95,70092.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,1.97,19.875,384860.0,13.955,70224.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.01,21.36,398588.0,14.850000000000001,70356.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.03,18.880000000000003,412976.0,13.455,70488.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,1.96,19.869999999999997,427496.0,16.0,70752.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.02,20.365000000000002,442412.0,14.95,71280.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.01,21.285,457064.0,14.5,71808.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,1.92,19.0,471188.0,15.45,72468.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,1.99,19.925,485576.0,15.89,72864.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.0,20.295,499568.0,15.0,72996.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.01,20.294999999999998,514220.0,13.905,73128.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,1.98,20.43,527948.0,14.4,73392.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.0,21.0,542336.0,15.0,73656.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,1.99,20.5,556328.0,14.95,73788.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,1.98,20.43,570584.0,15.0,73920.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,1.99,20.79,584840.0,14.850000000000001,74052.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.03,20.365000000000002,598832.0,15.0,74316.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,1.96,20.36,613088.0,14.95,74448.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.0,20.369999999999997,627476.0,14.4,74580.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,1.96,20.295,642128.0,14.945,74844.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,1.96,20.79,655856.0,14.355,75108.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,1.97,20.294999999999998,670112.0,14.45,75372.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.02,21.355,683972.0,14.0,75636.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,1.99,20.294999999999998,697964.0,13.9,75768.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.07,26.41,704168.0,14.45,75768.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.05,23.759999999999998,705224.0,14.45,75768.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.0,26.5,705356.0,13.455,75768.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.0,26.32,705488.0,14.0,75768.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.06,26.235,706016.0,14.95,75768.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.06,27.41,706544.0,14.41,75768.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.04,27.72,706676.0,13.455,75768.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.02,26.32,706808.0,13.5,75768.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.0,25.74,706808.0,14.0,75768.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.07,26.5,706808.0,14.5,75768.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.06,25.245,706808.0,13.0,75768.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.02,27.72,706940.0,13.41,75768.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,1.99,25.245,707336.0,13.86,75768.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.01,24.75,708128.0,13.95,75768.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.01,25.915,708656.0,13.5,75768.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.03,27.905,708788.0,14.4,75768.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,1.97,25.835,708920.0,13.455,75768.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.02,26.73,709316.0,14.405,75768.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,1.99,26.32,709712.0,13.86,75768.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.01,26.235,710108.0,13.955,75768.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.06,28.214999999999996,710504.0,13.96,75768.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.03,26.82,710636.0,14.355,75768.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.01,26.5,710900.0,14.0,75768.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,1.99,27.82,711428.0,13.5,75768.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.04,26.73,712088.0,14.355,75900.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.06,24.84,712352.0,15.0,76032.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.03,26.32,712616.0,14.0,76032.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.04,25.41,712880.0,13.41,76032.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,1.99,26.32,713408.0,14.0,76032.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.07,26.73,713936.0,14.5,76032.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.01,26.32,714728.0,14.405,76032.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.03,26.815,715520.0,13.5,76032.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.03,25.244999999999997,715520.0,14.405,76032.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.08,27.41,715652.0,14.0,76032.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.05,26.73,716180.0,14.45,76032.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.08,28.3,716840.0,13.46,76032.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.0,24.75,717368.0,13.905,76032.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.05,26.0,718028.0,13.86,76032.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.02,24.83,718424.0,14.905,76032.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.03,26.235,718952.0,13.5,76032.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.04,25.74,719480.0,12.96,76032.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.02,25.335,720008.0,13.905,76032.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.04,26.415,720536.0,14.0,76032.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.06,27.81,720800.0,13.955,76032.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,1.99,27.32,721064.0,12.96,76032.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.04,27.225,721328.0,13.95,76032.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.05,26.73,721724.0,13.86,76032.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.05,27.225,722120.0,13.5,76032.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.07,27.81,722252.0,14.5,76032.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.06,27.225,722384.0,12.915,76032.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.05,27.905,722384.0,14.905,76032.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.09,27.81,722384.0,13.905,76032.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.05,26.73,722384.0,14.355,76032.0
10.0.0.1,True,10.0.0.2,True,par,100,600,4,2.04,25.915,722384.0,14.5,76032.0
