SOURCE,SOURCE_BRO,TARGET,TARGET_BRO,MODE,EPOCHS,ITER,SIZE,seconds,sourcecpu,sourcemem,targetcpu,targetmem
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,20.0,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.69,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.93,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.99,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.7,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,20.58,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.54,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.51,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,20.2,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.68,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.86,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,20.0,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,20.33,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.67,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.86,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,20.11,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.76,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.75,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,20.15,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.76,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.76,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,20.09,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.94,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.95,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.95,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.94,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.96,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.76,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.97,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.93,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.88,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.95,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.88,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.88,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,20.05,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.89,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.77,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.91,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,20.01,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.87,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.89,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.85,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.76,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,20.05,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,20.07,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.74,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.72,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,20.12,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.63,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.84,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,20.24,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.61,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.88,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,20.23,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.74,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.98,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.97,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.88,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.78,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,20.35,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.85,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.49,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,20.13,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.72,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.68,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,20.25,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,20.04,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.66,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,20.13,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.9,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.84,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,20.06,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.96,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.71,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,20.0,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.92,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.72,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.71,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.93,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.84,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.69,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,20.05,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,20.06,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.87,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.93,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,20.08,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.85,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.69,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,20.16,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.66,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,20.04,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.86,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,19.8,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,20.02,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9500,4,20.0,0.0,0.0,0.0,0.0
