SOURCE,SOURCE_BRO,TARGET,TARGET_BRO,MODE,EPOCHS,ITER,SIZE,seconds,sourcecpu,sourcemem,targetcpu,targetmem
10.0.0.1,True,10.0.0.2,True,par,100,100,4,0.84,5.973333333333334,46512.0,4.9925,48670.0
10.0.0.3,True,10.0.0.2,True,par,100,100,4,1.16,8.5,46864.0,4.9925,48670.0
10.0.0.1,True,10.0.0.2,True,par,100,100,4,0.89,4.95,47700.0,6.7075000000000005,50320.0
10.0.0.3,True,10.0.0.2,True,par,100,100,4,0.86,5.94,48448.0,6.7075000000000005,50320.0
10.0.0.1,True,10.0.0.2,True,par,100,100,4,0.86,6.95,51528.0,6.63,50716.0
10.0.0.3,True,10.0.0.2,True,par,100,100,4,0.83,5.623333333333334,50824.0,6.63,50716.0
10.0.0.1,True,10.0.0.2,True,par,100,100,4,0.88,8.91,53640.0,8.0,51244.0
10.0.0.3,True,10.0.0.2,True,par,100,100,4,0.83,8.0,54256.0,8.0,51244.0
10.0.0.1,True,10.0.0.2,True,par,100,100,4,0.89,6.0,54960.0,7.0,52564.0
10.0.0.3,True,10.0.0.2,True,par,100,100,4,0.83,7.0,56632.0,7.0,52564.0
10.0.0.1,True,10.0.0.2,True,par,100,100,4,0.88,10.78,58392.0,7.92,52564.0
10.0.0.3,True,10.0.0.2,True,par,100,100,4,0.83,7.0,59008.0,7.92,52564.0
10.0.0.1,True,10.0.0.2,True,par,100,100,4,0.89,9.9,61296.0,6.5,52828.0
10.0.0.3,True,10.0.0.2,True,par,100,100,4,0.86,7.92,63496.0,6.5,52828.0
10.0.0.1,True,10.0.0.2,True,par,100,100,4,0.87,6.5,62484.0,7.5,52828.0
10.0.0.3,True,10.0.0.2,True,par,100,100,4,0.82,6.95,65872.0,7.5,52828.0
10.0.0.1,True,10.0.0.2,True,par,100,100,4,0.88,9.8,66048.0,7.475,52828.0
10.0.0.3,True,10.0.0.2,True,par,100,100,4,0.84,6.5,68512.0,7.475,52828.0
10.0.0.1,True,10.0.0.2,True,par,100,100,4,0.87,8.91,68424.0,6.316666666666666,52828.0
10.0.0.3,True,10.0.0.2,True,par,100,100,4,0.85,6.95,70888.0,6.316666666666666,52828.0
10.0.0.1,True,10.0.0.2,True,par,100,100,4,0.87,5.9399999999999995,69612.0,6.333333333333333,53092.0
