SOURCE,SOURCE_BRO,TARGET,TARGET_BRO,MODE,EPOCHS,ITER,SIZE,seconds,sourcecpu,sourcemem,targetcpu,targetmem
10.0.0.1,False,10.0.0.2,False,par,100,3500,4,9.72,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,3500,4,9.68,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,3500,4,11.53,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,3500,4,9.51,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,3500,4,9.8,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,3500,4,10.15,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,3500,4,11.09,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,3500,4,9.49,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,3500,4,9.78,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,3500,4,9.09,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,3500,4,9.63,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,3500,4,10.16,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,3500,4,9.63,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,3500,4,9.08,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,3500,4,9.74,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,3500,4,9.88,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,3500,4,9.89,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,3500,4,9.69,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,3500,4,9.4,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,3500,4,9.17,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,3500,4,9.54,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,3500,4,9.45,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,3500,4,11.45,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,3500,4,11.48,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,3500,4,9.64,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,3500,4,9.54,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,3500,4,10.18,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,3500,4,9.99,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,3500,4,10.03,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,3500,4,11.85,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,3500,4,9.8,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,3500,4,9.81,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,3500,4,9.68,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,3500,4,9.69,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,3500,4,9.45,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,3500,4,9.5,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,3500,4,8.94,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,3500,4,8.84,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,3500,4,9.98,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,3500,4,11.11,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,3500,4,10.22,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,3500,4,9.35,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,3500,4,9.44,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,3500,4,9.38,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,3500,4,9.56,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,3500,4,9.88,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,3500,4,11.13,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,3500,4,10.74,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,3500,4,11.46,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,3500,4,9.98,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,3500,4,9.65,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,3500,4,9.02,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,3500,4,10.06,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,3500,4,9.89,0.0,0.0,0.0,0.0
