SOURCE,SOURCE_BRO,TARGET,TARGET_BRO,MODE,EPOCHS,ITER,SIZE,seconds,sourcecpu,sourcemem,targetcpu,targetmem
10.0.0.1,True,10.0.0.2,True,seq,100,1000,4,5.43,12.521999999999998,64109.6,14.906,62972.8
10.0.0.3,True,10.0.0.2,True,seq,100,1000,4,5.41,13.15,66376.8,14.906,62972.8
10.0.0.1,True,10.0.0.2,True,seq,100,1000,4,5.44,12.972,96445.6,17.564,74798.4
10.0.0.3,True,10.0.0.2,True,seq,100,1000,4,5.43,12.546,98637.6,17.564,74798.4
10.0.0.1,True,10.0.0.2,True,seq,100,1000,4,5.46,12.744,130288.0,16.036666666666665,75784.0
10.0.0.3,True,10.0.0.2,True,seq,100,1000,4,5.42,12.772,130951.2,16.036666666666665,75784.0
10.0.0.1,True,10.0.0.2,True,seq,100,1000,4,5.42,12.554,163285.6,15.25,76752.0
10.0.0.3,True,10.0.0.2,True,seq,100,1000,4,5.42,12.373999999999999,163159.2,15.25,76752.0
10.0.0.1,True,10.0.0.2,True,seq,100,1000,4,5.44,13.2,195860.0,15.633333333333333,77632.0
10.0.0.3,True,10.0.0.2,True,seq,100,1000,4,5.41,12.924000000000001,195525.6,15.633333333333333,77632.0
10.0.0.1,True,10.0.0.2,True,seq,100,1000,4,5.43,12.751999999999999,228015.2,15.798333333333332,78600.0
10.0.0.3,True,10.0.0.2,True,seq,100,1000,4,5.41,13.144,227733.6,15.798333333333332,78600.0
10.0.0.1,True,10.0.0.2,True,seq,100,1000,4,5.42,12.7,259956.8,16.248333333333335,79304.0
10.0.0.3,True,10.0.0.2,True,seq,100,1000,4,5.41,12.943999999999999,259994.4,16.248333333333335,79304.0
10.0.0.1,True,10.0.0.2,True,seq,100,1000,4,5.45,13.094,292216.0,17.102,79814.4
10.0.0.3,True,10.0.0.2,True,seq,100,1000,4,5.42,12.898,291991.2,17.102,79814.4
10.0.0.1,True,10.0.0.2,True,seq,100,1000,4,5.43,13.313999999999998,325110.4,18.282,80817.6
10.0.0.3,True,10.0.0.2,True,seq,100,1000,4,5.42,13.522,325044.0,18.282,80817.6
10.0.0.1,True,10.0.0.2,True,seq,100,1000,4,5.44,13.315999999999999,357422.4,16.435,82296.0
10.0.0.3,True,10.0.0.2,True,seq,100,1000,4,5.41,12.572,357199.2,16.435,82296.0
10.0.0.1,True,10.0.0.2,True,seq,100,1000,4,5.42,12.774,389680.8,17.764,82929.6
10.0.0.3,True,10.0.0.2,True,seq,100,1000,4,5.41,12.546,389618.4,17.764,82929.6
10.0.0.1,True,10.0.0.2,True,seq,100,1000,4,5.43,12.744,421888.8,16.636666666666667,83616.0
10.0.0.3,True,10.0.0.2,True,seq,100,1000,4,5.41,12.572,422090.4,16.636666666666667,83616.0
10.0.0.1,True,10.0.0.2,True,seq,100,1000,4,5.45,12.754,453780.0,17.108333333333334,84408.0
10.0.0.3,True,10.0.0.2,True,seq,100,1000,4,5.42,12.718,454351.2,17.108333333333334,84408.0
10.0.0.1,True,10.0.0.2,True,seq,100,1000,4,5.46,13.55,485143.2,17.56,85041.6
10.0.0.3,True,10.0.0.2,True,seq,100,1000,4,5.43,13.0,486612.0,17.56,85041.6
10.0.0.1,True,10.0.0.2,True,seq,100,1000,4,5.48,16.764,495808.8,17.363999999999997,85464.0
10.0.0.3,True,10.0.0.2,True,seq,100,1000,4,5.44,16.330000000000002,505778.4,17.363999999999997,85464.0
10.0.0.1,True,10.0.0.2,True,seq,100,1000,4,5.48,16.497999999999998,496864.8,16.976,85464.0
10.0.0.3,True,10.0.0.2,True,seq,100,1000,4,5.46,16.906,506095.2,16.976,85464.0
10.0.0.1,True,10.0.0.2,True,seq,100,1000,4,5.49,16.894,497709.6,17.362000000000002,85464.0
10.0.0.3,True,10.0.0.2,True,seq,100,1000,4,5.45,16.928,506517.6,17.362000000000002,85464.0
