file, total, avgsec, avgsrccpu, avgsrcmem, avgtgtcpu, avgtgtmem
runs/par-bro-iter00100.result.csv, 100, 1.54, 8.06, 35625.47, 5.34, 34659.04
runs/par-bro-iter00200.result.csv, 100, 2.53, 9.66, 44324.77, 5.55, 37642.81
runs/par-bro-iter00300.result.csv, 100, 3.29, 14.37, 48827.10, 5.65, 39978.40
runs/par-bro-iter00400.result.csv, 100, 4.24, 15.07, 54582.82, 5.16, 42009.72
runs/par-bro-iter00500.result.csv, 100, 5.31, 15.85, 57494.54, 4.68, 42622.99
runs/par-bro-iter00600.result.csv, 100, 6.03, 16.22, 61158.66, 5.40, 46385.28
runs/par-bro-iter00700.result.csv, 100, 7.11, 17.42, 61362.63, 5.19, 45112.66
runs/par-bro-iter00800.result.csv, 100, 7.90, 18.45, 61579.68, 5.49, 42870.51
runs/par-bro-iter00900.result.csv, 100, 9.48, 17.73, 63725.05, 5.52, 48603.78
runs/par-bro-iter01000.result.csv, 100, 10.48, 17.98, 66046.04, 5.35, 51081.37
runs/par-bro-iter01500.result.csv, 100, 18.88, 17.00, 71258.96, 6.00, 62621.23
runs/par-bro-iter02000.result.csv, 100, 22.66, 19.58, 76955.49, 8.62, 69197.43
runs/par-bro-iter02500.result.csv, 100, 24.35, 22.63, 80687.56, 8.64, 69596.26
runs/par-bro-iter03000.result.csv, 100, 41.51, 17.27, 85693.80, 6.15, 82048.46
runs/par-bro-iter03500.result.csv, 100, 43.14, 18.94, 91401.81, 6.95, 86020.54
runs/par-bro-iter04000.result.csv, 100, 47.65, 20.09, 95488.70, 7.34, 85952.67
runs/par-bro-iter04500.result.csv, 100, 65.32, 17.80, 98582.71, 6.53, 92079.46
runs/par-bro-iter05000.result.csv, 100, 79.32, 16.27, 104970.00, 6.01, 99902.31
runs/par-bro-iter05500.result.csv, 100, 83.28, 17.06, 106972.03, 6.37, 103335.41
runs/par-bro-iter06000.result.csv, 100, 90.12, 17.71, 112200.01, 6.40, 109407.76
runs/par-bro-iter06500.result.csv, 100, 97.87, 17.43, 114395.37, 6.12, 113772.88
runs/par-bro-iter07000.result.csv, 100, 120.93, 15.59, 119194.36, 5.69, 117799.20
runs/par-bro-iter07500.result.csv, 100, 135.88, 14.57, 122010.94, 5.45, 121445.14
runs/par-bro-iter08000.result.csv, 100, 140.10, 14.58, 126197.41, 5.47, 124160.13
runs/par-bro-iter08500.result.csv, 100, 145.77, 14.68, 128105.56, 5.37, 122272.12
runs/par-bro-iter09000.result.csv, 100, 145.71, 14.99, 131910.54, 5.40, 127328.38
runs/par-bro-iter09500.result.csv, 100, 151.27, 15.84, 136381.17, 5.50, 129900.94
runs/par-bro-iter10000.result.csv, 100, 149.41, 15.83, 139917.19, 5.58, 134388.01
