SOURCE,SOURCE_BRO,TARGET,TARGET_BRO,MODE,EPOCHS,ITER,SIZE,seconds,sourcecpu,sourcemem,targetcpu,targetmem
10.0.0.1,True,10.0.0.2,True,par,100,900,5,9.47,18.02111111111111,52737.77777777778,5.7075,41862.0
10.0.0.1,True,10.0.0.2,True,par,100,900,5,9.77,17.414,56532.0,5.79,48120.0
10.0.0.1,True,10.0.0.2,True,par,100,900,5,9.8,17.576,57244.8,5.784000000000001,48496.8
10.0.0.1,True,10.0.0.2,True,par,100,900,5,9.8,17.266000000000002,57825.6,5.735,45709.0
10.0.0.1,True,10.0.0.2,True,par,100,900,5,9.75,17.495,58168.8,5.72,45971.0
10.0.0.1,True,10.0.0.2,True,par,100,900,5,9.36,18.673333333333332,57929.77777777778,4.97,41208.0
10.0.0.1,True,10.0.0.2,True,par,100,900,5,9.55,19.534444444444443,59308.444444444445,5.9875,47481.0
10.0.0.1,True,10.0.0.2,True,par,100,900,5,9.43,19.477777777777774,59953.77777777778,5.28,42616.0
10.0.0.1,True,10.0.0.2,True,par,100,900,5,9.39,19.273333333333333,60481.77777777778,5.666666666666667,42704.0
10.0.0.1,True,10.0.0.2,True,par,100,900,5,9.63,17.470999999999997,61891.2,4.7175,48141.0
10.0.0.1,True,10.0.0.2,True,par,100,900,5,9.83,17.774,62128.8,5.568,51508.8
10.0.0.1,True,10.0.0.2,True,par,100,900,5,9.65,17.088,62128.8,5.46,48339.0
10.0.0.1,True,10.0.0.2,True,par,100,900,5,9.8,17.61,62128.8,5.725,48339.0
10.0.0.1,True,10.0.0.2,True,par,100,900,5,9.6,19.515555555555554,61361.77777777778,5.9875,48471.0
10.0.0.1,True,10.0.0.2,True,par,100,900,5,9.31,19.31666666666667,61449.77777777778,5.73,48669.0
10.0.0.1,True,10.0.0.2,True,par,100,900,5,9.35,19.052222222222223,61596.444444444445,5.0,43408.0
10.0.0.1,True,10.0.0.2,True,par,100,900,5,9.09,19.494444444444444,62799.11111111111,5.646666666666667,43848.0
10.0.0.1,True,10.0.0.2,True,par,100,900,5,9.4,19.792222222222225,63473.77777777778,6.202500000000001,49725.0
10.0.0.1,True,10.0.0.2,True,par,100,900,5,9.53,18.993333333333332,63473.77777777778,5.306666666666667,44200.0
10.0.0.1,True,10.0.0.2,True,par,100,900,5,9.65,18.301,64399.2,5.976,53040.0
10.0.0.1,True,10.0.0.2,True,par,100,900,5,9.66,17.889999999999997,64504.8,5.4825,49725.0
10.0.0.1,True,10.0.0.2,True,par,100,900,5,8.95,19.10222222222222,63708.444444444445,4.966666666666667,44200.0
10.0.0.1,True,10.0.0.2,True,par,100,900,5,9.58,19.19666666666667,63708.444444444445,5.633333333333333,44200.0
