file, total, avgsec, avgsrccpu, avgsrcmem, avgtgtcpu, avgtgtmem
runs/par-nobro-iter00100.result.csv, 100, 1.55, 0.00, 0.00, 0.00, 0.00
runs/par-nobro-iter00200.result.csv, 100, 2.54, 0.00, 0.00, 0.00, 0.00
runs/par-nobro-iter00300.result.csv, 100, 3.28, 0.00, 0.00, 0.00, 0.00
runs/par-nobro-iter00400.result.csv, 100, 4.25, 0.00, 0.00, 0.00, 0.00
runs/par-nobro-iter00500.result.csv, 100, 5.33, 0.00, 0.00, 0.00, 0.00
runs/par-nobro-iter00600.result.csv, 100, 6.02, 0.00, 0.00, 0.00, 0.00
runs/par-nobro-iter00700.result.csv, 100, 7.13, 0.00, 0.00, 0.00, 0.00
runs/par-nobro-iter00800.result.csv, 100, 8.10, 0.00, 0.00, 0.00, 0.00
runs/par-nobro-iter00900.result.csv, 100, 9.51, 0.00, 0.00, 0.00, 0.00
runs/par-nobro-iter01000.result.csv, 100, 10.37, 0.00, 0.00, 0.00, 0.00
runs/par-nobro-iter01500.result.csv, 100, 19.08, 0.00, 0.00, 0.00, 0.00
runs/par-nobro-iter02000.result.csv, 100, 21.95, 0.00, 0.00, 0.00, 0.00
runs/par-nobro-iter02500.result.csv, 100, 24.41, 0.00, 0.00, 0.00, 0.00
runs/par-nobro-iter03000.result.csv, 100, 40.92, 0.00, 0.00, 0.00, 0.00
runs/par-nobro-iter03500.result.csv, 100, 43.16, 0.00, 0.00, 0.00, 0.00
runs/par-nobro-iter04000.result.csv, 100, 65.96, 0.00, 0.00, 0.00, 0.00
runs/par-nobro-iter04500.result.csv, 100, 72.99, 0.00, 0.00, 0.00, 0.00
runs/par-nobro-iter05000.result.csv, 100, 77.20, 0.00, 0.00, 0.00, 0.00
runs/par-nobro-iter05500.result.csv, 100, 96.93, 0.00, 0.00, 0.00, 0.00
runs/par-nobro-iter06000.result.csv, 100, 100.48, 0.00, 0.00, 0.00, 0.00
runs/par-nobro-iter06500.result.csv, 100, 128.80, 0.00, 0.00, 0.00, 0.00
runs/par-nobro-iter07000.result.csv, 100, 134.90, 0.00, 0.00, 0.00, 0.00
runs/par-nobro-iter07500.result.csv, 100, 138.29, 0.00, 0.00, 0.00, 0.00
runs/par-nobro-iter08000.result.csv, 100, 140.59, 0.00, 0.00, 0.00, 0.00
runs/par-nobro-iter08500.result.csv, 100, 144.68, 0.00, 0.00, 0.00, 0.00
