SOURCE,SOURCE_BRO,TARGET,TARGET_BRO,MODE,EPOCHS,ITER,SIZE,seconds,sourcecpu,sourcemem,targetcpu,targetmem
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,140.99,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,140.9,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,141.32,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,144.2,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,140.09,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,141.81,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,140.71,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,143.72,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,140.98,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,142.66,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,138.86,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,143.97,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,141.13,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,142.61,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,140.36,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,138.61,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,140.71,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,140.96,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,140.97,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,145.23,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,140.46,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,138.82,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,141.54,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,144.2,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,139.8,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,140.44,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,139.45,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,139.59,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,143.14,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,141.95,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,139.03,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,141.96,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,139.36,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,142.53,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,141.75,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,139.32,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,141.69,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,142.05,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,139.31,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,143.29,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,140.91,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,137.4,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,9000,5,139.43,0.0,0.0,0.0,0.0
