file_bro, total_nobro, total_bro, avgsec_nobro, avgsec_bro, avgsec_diff, statistic, pvalue, avgsrccpu, avgsrcmem, avgtgtcpu, avgtgtmem
runs/par-bro-iter00100.result.csv, 100, 100, 1.55, 1.54, -0.01, 1.39, 0.16555, 8.06, 35625.47, 5.34, 34659.04
runs/par-bro-iter00200.result.csv, 100, 100, 2.54, 2.53, -0.01, 1.51, 0.13291, 9.66, 44324.77, 5.55, 37642.81
runs/par-bro-iter00300.result.csv, 100, 100, 3.28, 3.29, 0.01, -1.39, 0.16469, 14.37, 48827.10, 5.65, 39978.40
runs/par-bro-iter00400.result.csv, 100, 100, 4.25, 4.24, -0.01, 0.98, 0.32976, 15.07, 54582.82, 5.16, 42009.72
runs/par-bro-iter00500.result.csv, 100, 100, 5.33, 5.31, -0.02, 1.25, 0.21443, 15.85, 57494.54, 4.68, 42622.99
runs/par-bro-iter00600.result.csv, 100, 100, 6.02, 6.03, 0.00, -0.32, 0.74583, 16.22, 61158.66, 5.40, 46385.28
runs/par-bro-iter00700.result.csv, 100, 100, 7.13, 7.11, -0.02, 0.69, 0.48922, 17.42, 61362.63, 5.19, 45112.66
runs/par-bro-iter00800.result.csv, 100, 100, 8.10, 7.90, -0.20, 3.15, 0.00194, 18.45, 61579.68, 5.49, 42870.51
runs/par-bro-iter00900.result.csv, 100, 100, 9.51, 9.48, -0.03, 0.63, 0.52849, 17.73, 63725.05, 5.52, 48603.78
runs/par-bro-iter01000.result.csv, 100, 100, 10.37, 10.48, 0.11, -1.44, 0.15060, 17.98, 66046.04, 5.35, 51081.37
runs/par-bro-iter01500.result.csv, 100, 100, 19.08, 18.88, -0.19, 1.02, 0.31166, 17.00, 71258.96, 6.00, 62621.23
runs/par-bro-iter02000.result.csv, 100, 100, 21.95, 22.66, 0.71, -5.40, 0.00000, 19.58, 76955.49, 8.62, 69197.43
runs/par-bro-iter02500.result.csv, 100, 100, 24.41, 24.35, -0.06, 0.63, 0.52687, 22.63, 80687.56, 8.64, 69596.26
runs/par-bro-iter03000.result.csv, 100, 100, 40.92, 41.51, 0.59, -4.06, 0.00007, 17.27, 85693.80, 6.15, 82048.46
runs/par-bro-iter03500.result.csv, 100, 100, 43.16, 43.14, -0.02, 0.04, 0.97053, 18.94, 91401.81, 6.95, 86020.54
runs/par-bro-iter04000.result.csv, 100, 100, 65.96, 47.65, -18.32, 12.96, 0.00000, 20.09, 95488.70, 7.34, 85952.67
runs/par-bro-iter04500.result.csv, 100, 100, 72.99, 65.32, -7.66, 5.76, 0.00000, 17.80, 98582.71, 6.53, 92079.46
runs/par-bro-iter05000.result.csv, 100, 100, 77.20, 79.32, 2.11, -1.20, 0.23213, 16.27, 104970.00, 6.01, 99902.31
runs/par-bro-iter05500.result.csv, 100, 100, 96.93, 83.28, -13.65, 4.00, 0.00009, 17.06, 106972.03, 6.37, 103335.41
runs/par-bro-iter06000.result.csv, 100, 100, 100.48, 90.12, -10.36, 2.81, 0.00545, 17.71, 112200.01, 6.40, 109407.76
runs/par-bro-iter06500.result.csv, 100, 100, 128.80, 97.87, -30.93, 8.84, 0.00000, 17.43, 114395.37, 6.12, 113772.88
runs/par-bro-iter07000.result.csv, 100, 100, 134.90, 120.93, -13.96, 4.42, 0.00002, 15.59, 119194.36, 5.69, 117799.20
runs/par-bro-iter07500.result.csv, 100, 100, 138.29, 135.88, -2.41, 1.06, 0.28881, 14.57, 122010.94, 5.45, 121445.14
runs/par-bro-iter08000.result.csv, 100, 100, 140.59, 140.10, -0.48, 0.19, 0.84767, 14.58, 126197.41, 5.47, 124160.13
runs/par-bro-iter08500.result.csv, 100, 100, 144.68, 145.77, 1.09, -0.36, 0.71668, 14.68, 128105.56, 5.37, 122272.12
runs/par-bro-iter09000.result.csv, 100, 100, 142.42, 145.71, 3.29, -1.68, 0.09453, 14.99, 131910.54, 5.40, 127328.38
runs/par-bro-iter09500.result.csv, 100, 100, 148.90, 151.27, 2.37, -0.63, 0.52820, 15.84, 136381.17, 5.50, 129900.94
runs/par-bro-iter10000.result.csv, 100, 100, 145.71, 149.41, 3.70, -1.27, 0.20715, 15.83, 139917.19, 5.58, 134388.01
