file, total, avgsec, avgsrccpu, avgsrcmem, avgtgtcpu, avgtgtmem
runs/seq-bro-iter00100.result.csv, 100, 1.34, 7.60, 47693.80, 6.25, 33262.93
runs/seq-bro-iter00200.result.csv, 100, 2.69, 10.41, 66603.24, 8.34, 39862.44
runs/seq-bro-iter00300.result.csv, 100, 4.03, 12.17, 80812.59, 9.51, 43276.05
runs/seq-bro-iter00400.result.csv, 100, 5.38, 12.92, 87032.67, 10.15, 46023.84
runs/seq-bro-iter00500.result.csv, 100, 6.73, 14.19, 95108.06, 10.89, 49404.56
runs/seq-bro-iter00600.result.csv, 100, 8.07, 13.89, 97949.96, 11.03, 48834.71
runs/seq-bro-iter00700.result.csv, 100, 9.42, 14.63, 104983.36, 11.39, 49921.67
runs/seq-bro-iter00800.result.csv, 100, 10.77, 14.35, 108975.50, 11.31, 51047.61
runs/seq-bro-iter00900.result.csv, 100, 12.13, 14.58, 105169.76, 11.24, 53225.61
runs/seq-bro-iter01000.result.csv, 100, 13.47, 14.69, 108509.79, 11.35, 53742.64
runs/seq-bro-iter01500.result.csv, 100, 20.20, 15.31, 114443.22, 12.19, 55292.23
runs/seq-bro-iter02000.result.csv, 100, 26.95, 15.51, 118058.29, 12.00, 54229.39
runs/seq-bro-iter02500.result.csv, 100, 33.70, 15.31, 119068.18, 12.09, 56198.23
runs/seq-bro-iter03000.result.csv, 100, 40.46, 15.89, 120532.28, 12.62, 57022.45
runs/seq-bro-iter03500.result.csv, 100, 47.21, 15.75, 124029.59, 12.74, 57260.20
runs/seq-bro-iter04000.result.csv, 100, 53.94, 15.93, 125576.91, 12.54, 57504.77
runs/seq-bro-iter04500.result.csv, 100, 60.70, 15.82, 126054.38, 12.63, 55641.51
runs/seq-bro-iter05000.result.csv, 100, 67.45, 15.85, 126480.81, 12.60, 55709.22
runs/seq-bro-iter05500.result.csv, 100, 74.24, 15.93, 130641.14, 12.68, 57784.31
runs/seq-bro-iter06000.result.csv, 100, 81.32, 15.93, 123130.61, 12.90, 57966.30
runs/seq-bro-iter06500.result.csv, 100, 87.89, 16.19, 125405.25, 12.56, 56051.04
runs/seq-bro-iter07000.result.csv, 100, 94.64, 16.09, 125598.47, 12.82, 58190.50
runs/seq-bro-iter07500.result.csv, 100, 101.46, 15.86, 127461.31, 12.72, 56300.09
runs/seq-bro-iter08000.result.csv, 100, 108.23, 16.03, 127622.14, 12.76, 58139.40
runs/seq-bro-iter08500.result.csv, 100, 115.02, 16.21, 127131.90, 12.71, 60256.29
runs/seq-bro-iter09000.result.csv, 100, 121.85, 16.10, 125343.11, 12.71, 58303.82
runs/seq-bro-iter09500.result.csv, 100, 128.59, 16.21, 127086.39, 12.70, 58101.08
runs/seq-bro-iter10000.result.csv, 100, 135.37, 16.08, 123940.05, 12.73, 56271.89
