SOURCE,SOURCE_BRO,TARGET,TARGET_BRO,MODE,EPOCHS,ITER,SIZE,seconds,sourcecpu,sourcemem,targetcpu,targetmem
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,10.97,41350.4,9.174,37921.6
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.04,11.734,44412.8,9.148,39558.4
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.145999999999999,45838.4,9.956,39664.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.04,11.748000000000001,47211.2,9.373999999999999,39769.6
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,11.58,48953.6,9.572,39928.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.05,12.276,50590.4,9.546,39980.8
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,11.58,52280.0,9.558,40086.4
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.02,12.166,53969.6,9.533999999999999,40192.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.04,11.734,55712.0,9.572,40350.4
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.01,12.145999999999999,57507.2,9.148,40403.2
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.04,11.934000000000001,58774.4,9.373999999999999,40561.6
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,11.768,60464.0,9.772,40614.4
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.02,11.8,61942.4,9.544,40772.8
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.166,63526.4,9.376000000000001,40931.2
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.02,12.132,64846.4,9.928,41036.8
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.078,66113.6,9.972,41248.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,11.568000000000001,67064.0,9.758,41248.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,11.968,68067.2,9.702,41406.4
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.134,68964.8,9.984,41459.2
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.04,12.112,69862.4,9.742,41617.6
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,11.748000000000001,70654.4,9.756,41670.4
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.02,11.716,71340.8,9.744,41828.8
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.04,11.968,72132.8,9.318,41881.6
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,11.914000000000001,72924.8,9.559999999999999,41987.2
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.02,12.132,73611.2,9.943999999999999,42092.8
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.01,12.114,74139.2,9.73,42092.8
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.04,12.308,74720.0,9.6,42356.8
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,11.948,75089.6,10.156,42620.8
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.166,75564.8,9.745999999999999,42832.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.02,12.111999999999998,76304.0,9.322,42937.6
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.132,76779.2,9.532,42937.6
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.06,11.946,77201.6,9.372,43043.2
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.129999999999999,77729.6,9.73,43148.8
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,11.911999999999999,78468.8,9.57,43201.6
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.02,12.508,79208.0,9.8,43360.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,11.716,80052.8,9.532,43360.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.134,81003.2,9.8,43518.4
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.096,81900.8,9.772,43571.2
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.02,12.312,82956.8,9.558,43676.8
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.04,12.166,83960.0,10.0,43782.4
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.04,12.331999999999999,84910.4,9.516,43782.4
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,11.714,86124.8,9.4,43993.6
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.04,11.966,87022.4,9.36,43993.6
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.078,87972.8,9.958,44152.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.04,12.078,89028.8,9.76,44204.8
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.0,89873.6,9.97,44363.2
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.344,90243.2,9.744,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.04,11.879999999999999,90243.2,9.532,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.05,12.33,90243.2,9.532,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.113999999999999,90243.2,9.584,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.276,90243.2,9.372,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.53,90243.2,9.331999999999999,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.742,90243.2,8.75,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.344,90243.2,9.6,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.73,90243.2,9.331999999999999,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.02,12.4,90243.2,9.53,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.166,90243.2,9.572,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.11,90243.2,9.346,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,11.714,90243.2,9.334,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.02,11.931999999999999,90243.2,8.976,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.528,90243.2,9.6,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.05,12.145999999999999,90243.2,9.544,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.04,12.111999999999998,90243.2,8.935999999999998,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.04,11.931999999999999,90243.2,9.331999999999999,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.296,90243.2,9.373999999999999,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.04,12.312000000000001,90243.2,9.2,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.6,90243.2,9.547999999999998,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.05,11.702000000000002,90243.2,9.574,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.04,11.879999999999999,90243.2,9.16,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.166,90243.2,9.347999999999999,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,11.966,90243.2,9.546,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.4,90243.2,9.336,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.276,90243.2,9.306,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.11,90243.2,9.772,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.04,12.542,90243.2,9.16,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.04,12.578,90243.2,9.33,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.114,90243.2,9.586,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.04,12.178,90243.2,9.53,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.05,11.934000000000001,90243.2,9.16,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.181999999999999,90243.2,9.319999999999999,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.04,12.728,90243.2,8.948,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.04,12.132,90243.2,9.373999999999999,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.544,90243.2,9.122,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.544,90243.2,9.574,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.568000000000001,90243.2,9.532,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.04,12.346,90243.2,9.9,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.02,12.928,90243.2,9.373999999999999,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.06,12.510000000000002,90243.2,9.532,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.508,90243.2,9.4,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.346,90243.2,9.386,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.78,90243.2,9.532,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.04,12.51,90243.2,9.559999999999999,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.04,12.906,90243.2,9.346,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.04,12.745999999999999,90243.2,9.15,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.03,12.546,90243.2,9.172,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.05,12.766,90243.2,9.174,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.06,12.941999999999998,90243.2,9.6,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.04,12.474,90243.2,9.347999999999999,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.04,12.078,90243.2,9.2,44416.0
10.0.0.1,True,10.0.0.2,True,seq,100,300,5,4.04,11.734,90243.2,10.0,44416.0
