file, total, avgsec, avgsrccpu, avgsrcmem, avgtgtcpu, avgtgtmem
runs/seq-nobro-iter00100.result.csv, 100, 1.32, 0.00, 0.00, 0.00, 0.00
runs/seq-nobro-iter00200.result.csv, 100, 2.65, 0.00, 0.00, 0.00, 0.00
runs/seq-nobro-iter00300.result.csv, 100, 3.98, 0.00, 0.00, 0.00, 0.00
runs/seq-nobro-iter00400.result.csv, 100, 5.30, 0.00, 0.00, 0.00, 0.00
runs/seq-nobro-iter00500.result.csv, 100, 6.63, 0.00, 0.00, 0.00, 0.00
runs/seq-nobro-iter00600.result.csv, 100, 7.95, 0.00, 0.00, 0.00, 0.00
runs/seq-nobro-iter00700.result.csv, 100, 9.28, 0.00, 0.00, 0.00, 0.00
runs/seq-nobro-iter00800.result.csv, 100, 10.60, 0.00, 0.00, 0.00, 0.00
runs/seq-nobro-iter00900.result.csv, 100, 11.93, 0.00, 0.00, 0.00, 0.00
runs/seq-nobro-iter01000.result.csv, 100, 13.26, 0.00, 0.00, 0.00, 0.00
runs/seq-nobro-iter01500.result.csv, 100, 19.89, 0.00, 0.00, 0.00, 0.00
runs/seq-nobro-iter02000.result.csv, 100, 26.52, 0.00, 0.00, 0.00, 0.00
runs/seq-nobro-iter02500.result.csv, 100, 33.16, 0.00, 0.00, 0.00, 0.00
runs/seq-nobro-iter03000.result.csv, 100, 39.79, 0.00, 0.00, 0.00, 0.00
runs/seq-nobro-iter03500.result.csv, 100, 46.44, 0.00, 0.00, 0.00, 0.00
runs/seq-nobro-iter04000.result.csv, 100, 53.07, 0.00, 0.00, 0.00, 0.00
runs/seq-nobro-iter04500.result.csv, 100, 59.70, 0.00, 0.00, 0.00, 0.00
runs/seq-nobro-iter05000.result.csv, 100, 66.36, 0.00, 0.00, 0.00, 0.00
runs/seq-nobro-iter05500.result.csv, 100, 73.00, 0.00, 0.00, 0.00, 0.00
runs/seq-nobro-iter06000.result.csv, 100, 79.64, 0.00, 0.00, 0.00, 0.00
runs/seq-nobro-iter06500.result.csv, 100, 86.31, 0.00, 0.00, 0.00, 0.00
runs/seq-nobro-iter07000.result.csv, 100, 92.97, 0.00, 0.00, 0.00, 0.00
runs/seq-nobro-iter07500.result.csv, 100, 99.63, 0.00, 0.00, 0.00, 0.00
runs/seq-nobro-iter08000.result.csv, 100, 106.32, 0.00, 0.00, 0.00, 0.00
runs/seq-nobro-iter08500.result.csv, 100, 112.98, 0.00, 0.00, 0.00, 0.00
runs/seq-nobro-iter09000.result.csv, 100, 119.62, 0.00, 0.00, 0.00, 0.00
runs/seq-nobro-iter09500.result.csv, 100, 126.30, 0.00, 0.00, 0.00, 0.00
runs/seq-nobro-iter10000.result.csv, 100, 133.00, 0.00, 0.00, 0.00, 0.00
