SOURCE,SOURCE_BRO,TARGET,TARGET_BRO,MODE,EPOCHS,ITER,SIZE,seconds,sourcecpu,sourcemem,targetcpu,targetmem
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.66,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.64,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.64,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.66,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,200,5,2.65,0.0,0.0,0.0,0.0
