file, total, avgsec, avgsrccpu, avgsrcmem, avgtgtcpu, avgtgtmem
runs/src2-tgt1/par-bro-iter00100.result.csv, 200, 2.43, 6.86, 40681.92, 6.14, 37929.03
runs/src2-tgt1/par-bro-iter00200.result.csv, 200, 4.34, 8.98, 49806.64, 5.61, 44136.16
runs/src2-tgt1/par-bro-iter00300.result.csv, 200, 5.97, 9.87, 52704.62, 6.02, 51454.52
runs/src2-tgt1/par-bro-iter00400.result.csv, 200, 8.04, 10.43, 55633.86, 6.39, 48375.31
runs/src2-tgt1/par-bro-iter00500.result.csv, 200, 10.14, 10.88, 58325.87, 5.94, 54313.46
runs/src2-tgt1/par-bro-iter00600.result.csv, 200, 11.57, 11.81, 59470.54, 5.93, 54667.63
runs/src2-tgt1/par-bro-iter00700.result.csv, 200, 17.58, 10.37, 62191.33, 5.64, 63851.72
runs/src2-tgt1/par-bro-iter00800.result.csv, 200, 19.01, 10.98, 62624.07, 6.57, 68618.82
runs/src2-tgt1/par-bro-iter00900.result.csv, 200, 19.89, 11.46, 64886.74, 7.04, 70463.32
runs/src2-tgt1/par-bro-iter01000.result.csv, 200, 21.50, 11.75, 66164.34, 7.05, 72460.52
runs/src2-tgt1/par-bro-iter01500.result.csv, 200, 38.99, 11.08, 71586.87, 6.15, 89563.65
runs/src2-tgt1/par-bro-iter02000.result.csv, 200, 69.04, 9.73, 76563.37, 6.02, 101600.96
runs/src2-tgt1/par-bro-iter02500.result.csv, 200, 86.54, 10.10, 80170.29, 6.33, 116486.08
runs/src2-tgt1/par-bro-iter03000.result.csv, 200, 128.58, 8.92, 85456.35, 5.48, 131773.28
runs/src2-tgt1/par-bro-iter03500.result.csv, 200, 136.03, 9.13, 90119.52, 5.30, 136861.45
runs/src2-tgt1/par-bro-iter04000.result.csv, 200, 139.21, 9.34, 94212.78, 5.36, 146400.87
runs/src2-tgt1/par-bro-iter04500.result.csv, 200, 145.68, 9.75, 98414.79, 5.44, 149290.66
runs/src2-tgt1/par-bro-iter05000.result.csv, 200, 146.63, 10.03, 104093.48, 5.31, 161323.91
runs/src2-tgt1/par-bro-iter05500.result.csv, 200, 150.11, 10.26, 108460.31, 5.41, 170088.66
runs/src2-tgt1/par-bro-iter06000.result.csv, 200, 153.04, 10.44, 111772.75, 5.49, 182290.87
runs/src2-tgt1/par-bro-iter06500.result.csv, 200, 157.72, 10.51, 116512.23, 5.66, 189120.89
runs/src2-tgt1/par-bro-iter07000.result.csv, 200, 166.43, 10.53, 119592.26, 5.66, 200594.50
runs/src2-tgt1/par-bro-iter07500.result.csv, 200, 166.47, 10.91, 123421.62, 5.69, 201858.91
runs/src2-tgt1/par-bro-iter08000.result.csv, 200, 165.48, 11.25, 127909.65, 5.84, 209538.56
runs/src2-tgt1/par-bro-iter08500.result.csv, 200, 171.89, 11.25, 132137.36, 5.91, 211816.42
runs/src2-tgt1/par-bro-iter09000.result.csv, 200, 169.80, 11.39, 136002.91, 6.01, 217308.84
runs/src2-tgt1/par-bro-iter09500.result.csv, 200, 163.91, 11.92, 139601.32, 6.13, 230671.52
runs/src2-tgt1/par-bro-iter10000.result.csv, 200, 168.71, 11.91, 144166.77, 6.16, 238533.89
