file, total, avgsec, avgsrccpu, avgsrcmem, avgtgtcpu, avgtgtmem
runs/src2-tgt1/par-nobro-iter00100.result.csv, 200, 2.41, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/par-nobro-iter00200.result.csv, 200, 4.31, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/par-nobro-iter00300.result.csv, 200, 5.96, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/par-nobro-iter00400.result.csv, 200, 8.11, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/par-nobro-iter00500.result.csv, 200, 10.15, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/par-nobro-iter00600.result.csv, 200, 11.61, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/par-nobro-iter00700.result.csv, 200, 17.63, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/par-nobro-iter00800.result.csv, 200, 19.00, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/par-nobro-iter00900.result.csv, 200, 19.98, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/par-nobro-iter01000.result.csv, 200, 21.89, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/par-nobro-iter01500.result.csv, 200, 39.02, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/par-nobro-iter02000.result.csv, 200, 67.80, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/par-nobro-iter02500.result.csv, 200, 89.91, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/par-nobro-iter03000.result.csv, 200, 124.51, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/par-nobro-iter03500.result.csv, 200, 134.15, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/par-nobro-iter04000.result.csv, 200, 143.92, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/par-nobro-iter04500.result.csv, 200, 145.85, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/par-nobro-iter05000.result.csv, 200, 145.25, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/par-nobro-iter05500.result.csv, 200, 154.10, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/par-nobro-iter06000.result.csv, 200, 157.92, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/par-nobro-iter06500.result.csv, 200, 156.34, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/par-nobro-iter07000.result.csv, 200, 163.84, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/par-nobro-iter07500.result.csv, 200, 159.91, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/par-nobro-iter08000.result.csv, 200, 173.38, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/par-nobro-iter08500.result.csv, 200, 178.47, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/par-nobro-iter09000.result.csv, 200, 186.63, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/par-nobro-iter09500.result.csv, 200, 184.98, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/par-nobro-iter10000.result.csv, 200, 187.46, 0.00, 0.00, 0.00, 0.00
