SOURCE,SOURCE_BRO,TARGET,TARGET_BRO,MODE,EPOCHS,ITER,SIZE,seconds,sourcecpu,sourcemem,targetcpu,targetmem
10.0.0.1,False,10.0.0.2,False,par,100,10000,5,147.31,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,10000,5,144.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,10000,5,239.89,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,10000,5,240.24,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,10000,5,238.79,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,10000,5,241.55,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,10000,5,150.37,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,10000,5,144.47,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,10000,5,144.86,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,10000,5,144.95,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,10000,5,247.47,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,10000,5,252.22,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,10000,5,144.94,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,10000,5,142.76,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,10000,5,137.08,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,10000,5,135.81,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,10000,5,246.94,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,10000,5,248.05,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,10000,5,243.96,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,10000,5,237.9,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,10000,5,147.72,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,10000,5,150.49,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,10000,5,147.53,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,10000,5,142.35,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,10000,5,237.76,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,10000,5,235.47,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,10000,5,245.94,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,10000,5,243.33,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,10000,5,141.91,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,10000,5,141.03,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,10000,5,141.29,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,10000,5,140.67,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,10000,5,248.72,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,10000,5,252.31,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,10000,5,246.14,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,10000,5,238.01,0.0,0.0,0.0,0.0
