file_bro, total_nobro, total_bro, avgsec_nobro, avgsec_bro, avgsec_diff, statistic, pvalue, avgsrccpu, avgsrcmem, avgtgtcpu, avgtgtmem
runs/src2-tgt1/par-bro-iter00100.result.csv, 200, 200, 2.41, 2.43, 0.02, -3.88, 0.00012, 6.86, 40681.92, 6.14, 37929.03
runs/src2-tgt1/par-bro-iter00200.result.csv, 200, 200, 4.31, 4.34, 0.03, -3.06, 0.00233, 8.98, 49806.64, 5.61, 44136.16
runs/src2-tgt1/par-bro-iter00300.result.csv, 200, 200, 5.96, 5.97, 0.01, -0.89, 0.37567, 9.87, 52704.62, 6.02, 51454.52
runs/src2-tgt1/par-bro-iter00400.result.csv, 200, 200, 8.11, 8.04, -0.07, 1.55, 0.12098, 10.43, 55633.86, 6.39, 48375.31
runs/src2-tgt1/par-bro-iter00500.result.csv, 200, 200, 10.15, 10.14, -0.01, 0.14, 0.89147, 10.88, 58325.87, 5.94, 54313.46
runs/src2-tgt1/par-bro-iter00600.result.csv, 200, 200, 11.61, 11.57, -0.04, 0.80, 0.42558, 11.81, 59470.54, 5.93, 54667.63
runs/src2-tgt1/par-bro-iter00700.result.csv, 200, 200, 17.63, 17.58, -0.05, 0.42, 0.67803, 10.37, 62191.33, 5.64, 63851.72
runs/src2-tgt1/par-bro-iter00800.result.csv, 200, 200, 19.00, 19.01, 0.01, -0.14, 0.88589, 10.98, 62624.07, 6.57, 68618.82
runs/src2-tgt1/par-bro-iter00900.result.csv, 200, 200, 19.98, 19.89, -0.09, 1.00, 0.31660, 11.46, 64886.74, 7.04, 70463.32
runs/src2-tgt1/par-bro-iter01000.result.csv, 200, 200, 21.89, 21.50, -0.40, 1.48, 0.13937, 11.75, 66164.34, 7.05, 72460.52
runs/src2-tgt1/par-bro-iter01500.result.csv, 200, 200, 39.02, 38.99, -0.04, 0.11, 0.91473, 11.08, 71586.87, 6.15, 89563.65
runs/src2-tgt1/par-bro-iter02000.result.csv, 200, 200, 67.80, 69.04, 1.24, -2.07, 0.03981, 9.73, 76563.37, 6.02, 101600.96
runs/src2-tgt1/par-bro-iter02500.result.csv, 200, 200, 89.91, 86.54, -3.37, 1.29, 0.19879, 10.10, 80170.29, 6.33, 116486.08
runs/src2-tgt1/par-bro-iter03000.result.csv, 200, 200, 124.51, 128.58, 4.07, -2.28, 0.02297, 8.92, 85456.35, 5.48, 131773.28
runs/src2-tgt1/par-bro-iter03500.result.csv, 200, 200, 134.15, 136.03, 1.88, -1.43, 0.15263, 9.13, 90119.52, 5.30, 136861.45
runs/src2-tgt1/par-bro-iter04000.result.csv, 200, 200, 143.92, 139.21, -4.70, 2.32, 0.02081, 9.34, 94212.78, 5.36, 146400.87
runs/src2-tgt1/par-bro-iter04500.result.csv, 200, 200, 145.85, 145.68, -0.17, 0.06, 0.94866, 9.75, 98414.79, 5.44, 149290.66
runs/src2-tgt1/par-bro-iter05000.result.csv, 200, 200, 145.25, 146.63, 1.38, -0.55, 0.58593, 10.03, 104093.48, 5.31, 161323.91
runs/src2-tgt1/par-bro-iter05500.result.csv, 200, 200, 154.10, 150.11, -3.98, 1.21, 0.22595, 10.26, 108460.31, 5.41, 170088.66
runs/src2-tgt1/par-bro-iter06000.result.csv, 200, 200, 157.92, 153.04, -4.87, 1.36, 0.17617, 10.44, 111772.75, 5.49, 182290.87
runs/src2-tgt1/par-bro-iter06500.result.csv, 200, 200, 156.34, 157.72, 1.38, -0.36, 0.71961, 10.51, 116512.23, 5.66, 189120.89
runs/src2-tgt1/par-bro-iter07000.result.csv, 200, 200, 163.84, 166.43, 2.59, -0.59, 0.55577, 10.53, 119592.26, 5.66, 200594.50
runs/src2-tgt1/par-bro-iter07500.result.csv, 200, 200, 159.91, 166.47, 6.56, -1.51, 0.13070, 10.91, 123421.62, 5.69, 201858.91
runs/src2-tgt1/par-bro-iter08000.result.csv, 200, 200, 173.38, 165.48, -7.90, 1.73, 0.08495, 11.25, 127909.65, 5.84, 209538.56
runs/src2-tgt1/par-bro-iter08500.result.csv, 200, 200, 178.47, 171.89, -6.58, 1.35, 0.17785, 11.25, 132137.36, 5.91, 211816.42
runs/src2-tgt1/par-bro-iter09000.result.csv, 200, 200, 186.63, 169.80, -16.83, 3.50, 0.00052, 11.39, 136002.91, 6.01, 217308.84
runs/src2-tgt1/par-bro-iter09500.result.csv, 200, 200, 184.98, 163.91, -21.06, 4.67, 0.00000, 11.92, 139601.32, 6.13, 230671.52
runs/src2-tgt1/par-bro-iter10000.result.csv, 200, 200, 187.46, 168.71, -18.75, 4.06, 0.00006, 11.91, 144166.77, 6.16, 238533.89
