file, total, avgsec, avgsrccpu, avgsrcmem, avgtgtcpu, avgtgtmem
runs/src2-tgt1/seq-bro-iter00100.result.csv, 200, 1.77, 7.26, 37285.28, 9.41, 39475.96
runs/src2-tgt1/seq-bro-iter00200.result.csv, 200, 3.56, 8.52, 46369.11, 11.89, 48998.96
runs/src2-tgt1/seq-bro-iter00300.result.csv, 200, 5.34, 10.12, 49321.80, 13.72, 53609.88
runs/src2-tgt1/seq-bro-iter00400.result.csv, 200, 7.13, 10.40, 53128.91, 14.17, 57098.55
runs/src2-tgt1/seq-bro-iter00500.result.csv, 200, 8.90, 10.58, 54223.45, 14.37, 58775.18
runs/src2-tgt1/seq-bro-iter00600.result.csv, 200, 10.69, 10.84, 54624.44, 14.75, 58409.33
runs/src2-tgt1/seq-bro-iter00700.result.csv, 200, 12.48, 11.13, 56104.35, 15.47, 60963.35
runs/src2-tgt1/seq-bro-iter00800.result.csv, 200, 14.27, 11.26, 56795.33, 15.35, 59966.45
runs/src2-tgt1/seq-bro-iter00900.result.csv, 200, 16.06, 11.32, 56459.54, 15.74, 64175.45
runs/src2-tgt1/seq-bro-iter01000.result.csv, 200, 17.83, 11.39, 56077.02, 15.75, 62154.88
runs/src2-tgt1/seq-bro-iter01500.result.csv, 200, 26.79, 11.59, 58043.23, 16.22, 64321.47
runs/src2-tgt1/seq-bro-iter02000.result.csv, 200, 35.67, 11.87, 58726.86, 16.94, 65259.75
runs/src2-tgt1/seq-bro-iter02500.result.csv, 200, 44.64, 11.91, 59938.84, 16.67, 65972.41
runs/src2-tgt1/seq-bro-iter03000.result.csv, 200, 53.56, 12.07, 59649.67, 17.08, 64401.11
runs/src2-tgt1/seq-bro-iter03500.result.csv, 200, 62.48, 12.08, 60858.02, 16.86, 64472.95
runs/src2-tgt1/seq-bro-iter04000.result.csv, 200, 71.40, 12.10, 60049.92, 17.11, 66719.77
runs/src2-tgt1/seq-bro-iter04500.result.csv, 200, 80.31, 12.16, 61042.62, 17.11, 66996.75
runs/src2-tgt1/seq-bro-iter05000.result.csv, 200, 89.30, 12.12, 59158.35, 16.91, 65002.85
runs/src2-tgt1/seq-bro-iter05500.result.csv, 200, 98.23, 12.14, 60391.44, 17.20, 67109.57
runs/src2-tgt1/seq-bro-iter06000.result.csv, 200, 107.18, 12.24, 60425.87, 16.92, 67185.31
runs/src2-tgt1/seq-bro-iter06500.result.csv, 200, 116.16, 12.21, 60554.98, 17.09, 65408.53
runs/src2-tgt1/seq-bro-iter07000.result.csv, 200, 125.08, 12.18, 60760.18, 17.20, 67301.23
runs/src2-tgt1/seq-bro-iter07500.result.csv, 200, 134.06, 12.15, 61631.12, 17.25, 67375.01
runs/src2-tgt1/seq-bro-iter08000.result.csv, 200, 142.96, 12.42, 60698.61, 17.24, 65572.13
runs/src2-tgt1/seq-bro-iter08500.result.csv, 200, 151.97, 12.17, 61545.73, 17.40, 65493.57
runs/src2-tgt1/seq-bro-iter09000.result.csv, 200, 161.05, 12.16, 61698.15, 17.52, 65705.52
runs/src2-tgt1/seq-bro-iter09500.result.csv, 200, 169.89, 12.23, 61753.50, 17.01, 65584.20
runs/src2-tgt1/seq-bro-iter10000.result.csv, 200, 178.83, 12.35, 60854.55, 17.54, 67835.71
