SOURCE,SOURCE_BRO,TARGET,TARGET_BRO,MODE,EPOCHS,ITER,SIZE,seconds,sourcecpu,sourcemem,targetcpu,targetmem
10.0.0.1,True,10.0.0.2,True,seq,100,9500,5,170.11,12.853146853146841,56734.79720279721,17.73369565217391,57179.44927536232
10.0.0.3,True,10.0.0.2,True,seq,100,9500,5,169.75,12.407697841726618,56483.74100719424,17.73369565217391,57179.44927536232
10.0.0.1,True,10.0.0.2,True,seq,100,9500,5,170.35,12.87671328671327,61227.58041958042,17.79043478260869,64343.79710144927
10.0.0.3,True,10.0.0.2,True,seq,100,9500,5,169.9,12.262014388489211,60198.73381294964,17.79043478260869,64343.79710144927
10.0.0.1,True,10.0.0.2,True,seq,100,9500,5,170.1,12.840279720279705,61709.42657342657,17.371231884057963,65359.6231884058
10.0.0.3,True,10.0.0.2,True,seq,100,9500,5,169.79,12.219784172661875,60992.63309352518,17.371231884057963,65359.6231884058
10.0.0.1,True,10.0.0.2,True,seq,100,9500,5,170.16,12.733636363636357,61709.42657342657,17.344275362318832,65494.840579710144
10.0.0.3,True,10.0.0.2,True,seq,100,9500,5,169.82,12.124892086330934,61399.07913669065,17.344275362318832,65494.840579710144
10.0.0.1,True,10.0.0.2,True,seq,100,9500,5,170.54,13.141888111888099,61709.42657342657,17.100289855072457,65688.52173913043
10.0.0.3,True,10.0.0.2,True,seq,100,9500,5,170.16,12.360935251798566,61399.07913669065,17.100289855072457,65688.52173913043
10.0.0.1,True,10.0.0.2,True,seq,100,9500,5,170.43,12.9118881118881,61709.42657342657,17.28333333333332,65688.52173913043
10.0.0.3,True,10.0.0.2,True,seq,100,9500,5,169.94,12.42165467625899,61399.07913669065,17.28333333333332,65688.52173913043
10.0.0.1,True,10.0.0.2,True,seq,100,9500,5,169.96,12.771888111888105,61709.42657342657,16.775724637681144,65688.52173913043
10.0.0.3,True,10.0.0.2,True,seq,100,9500,5,169.61,11.914460431654685,61453.15107913669,16.775724637681144,65688.52173913043
10.0.0.1,True,10.0.0.2,True,seq,100,9500,5,170.3,12.881608391608381,61951.27272727273,16.763550724637664,65688.52173913043
10.0.0.3,True,10.0.0.2,True,seq,100,9500,5,169.86,11.737553956834548,61585.87050359712,16.763550724637664,65688.52173913043
10.0.0.1,True,10.0.0.2,True,seq,100,9500,5,169.98,12.814895104895095,61971.58041958042,16.83188405797101,65688.52173913043
10.0.0.3,True,10.0.0.2,True,seq,100,9500,5,169.53,11.874172661870512,61685.0071942446,16.83188405797101,65688.52173913043
10.0.0.1,True,10.0.0.2,True,seq,100,9500,5,170.08,13.016363636363629,61971.58041958042,17.140797101449273,65688.52173913043
10.0.0.3,True,10.0.0.2,True,seq,100,9500,5,169.81,12.010575539568352,61685.0071942446,17.140797101449273,65688.52173913043
10.0.0.1,True,10.0.0.2,True,seq,100,9500,5,170.16,12.683636363636355,61971.58041958042,17.029202898550718,65688.52173913043
10.0.0.3,True,10.0.0.2,True,seq,100,9500,5,169.73,12.010287769784183,61685.0071942446,17.029202898550718,65688.52173913043
10.0.0.1,True,10.0.0.2,True,seq,100,9500,5,170.21,12.894405594405587,61971.58041958042,16.85608695652173,65688.52173913043
10.0.0.3,True,10.0.0.2,True,seq,100,9500,5,169.75,11.716762589928068,61685.0071942446,16.85608695652173,65688.52173913043
10.0.0.1,True,10.0.0.2,True,seq,100,9500,5,170.22,12.862867132867125,61971.58041958042,16.887753623188402,65688.52173913043
10.0.0.3,True,10.0.0.2,True,seq,100,9500,5,169.76,11.793956834532382,61685.0071942446,16.887753623188402,65688.52173913043
10.0.0.1,True,10.0.0.2,True,seq,100,9500,5,170.58,13.04279720279719,61971.91608391608,17.088188405797094,65688.52173913043
10.0.0.3,True,10.0.0.2,True,seq,100,9500,5,170.11,11.853021582733819,61685.0071942446,17.088188405797094,65688.52173913043
10.0.0.1,True,10.0.0.2,True,seq,100,9500,5,170.46,12.526643356643353,61983.496503496506,17.181521739130424,65688.52173913043
10.0.0.3,True,10.0.0.2,True,seq,100,9500,5,169.95,11.915827338129505,61685.0071942446,17.181521739130424,65688.52173913043
10.0.0.1,True,10.0.0.2,True,seq,100,9500,5,170.3,12.511818181818178,61983.496503496506,16.902971014492746,65688.52173913043
10.0.0.3,True,10.0.0.2,True,seq,100,9500,5,169.87,11.804100719424476,61685.0071942446,16.902971014492746,65688.52173913043
10.0.0.1,True,10.0.0.2,True,seq,100,9500,5,170.24,12.502307692307694,61983.496503496506,16.871449275362313,65688.52173913043
10.0.0.3,True,10.0.0.2,True,seq,100,9500,5,169.88,11.815827338129505,61685.0071942446,16.871449275362313,65688.52173913043
10.0.0.1,True,10.0.0.2,True,seq,100,9500,5,170.48,12.75741258741258,61983.496503496506,16.94282608695651,65688.52173913043
10.0.0.3,True,10.0.0.2,True,seq,100,9500,5,169.97,11.790863309352524,61685.0071942446,16.94282608695651,65688.52173913043
10.0.0.1,True,10.0.0.2,True,seq,100,9500,5,170.29,12.58671328671328,61983.496503496506,17.104565217391297,65688.52173913043
10.0.0.3,True,10.0.0.2,True,seq,100,9500,5,169.9,11.90251798561152,61685.0071942446,17.104565217391297,65688.52173913043
10.0.0.1,True,10.0.0.2,True,seq,100,9500,5,170.12,12.556083916083912,61983.496503496506,16.911666666666658,65688.52173913043
10.0.0.3,True,10.0.0.2,True,seq,100,9500,5,169.71,11.830287769784185,61685.0071942446,16.911666666666658,65688.52173913043
10.0.0.1,True,10.0.0.2,True,seq,100,9500,5,170.0,12.565174825174823,61983.496503496506,16.810434782608684,65688.52173913043
10.0.0.3,True,10.0.0.2,True,seq,100,9500,5,169.74,11.79143884892087,61685.0071942446,16.810434782608684,65688.52173913043
10.0.0.1,True,10.0.0.2,True,seq,100,9500,5,170.18,12.573286713286706,61983.496503496506,16.820144927536226,65688.52173913043
10.0.0.3,True,10.0.0.2,True,seq,100,9500,5,169.8,11.78410071942447,61685.0071942446,16.820144927536226,65688.52173913043
