file, total, avgsec, avgsrccpu, avgsrcmem, avgtgtcpu, avgtgtmem
runs/src2-tgt1/seq-nobro-iter00100.result.csv, 200, 1.76, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/seq-nobro-iter00200.result.csv, 200, 3.53, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/seq-nobro-iter00300.result.csv, 200, 5.30, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/seq-nobro-iter00400.result.csv, 200, 7.07, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/seq-nobro-iter00500.result.csv, 200, 8.83, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/seq-nobro-iter00600.result.csv, 200, 10.60, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/seq-nobro-iter00700.result.csv, 200, 12.37, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/seq-nobro-iter00800.result.csv, 200, 14.13, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/seq-nobro-iter00900.result.csv, 200, 15.90, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/seq-nobro-iter01000.result.csv, 200, 17.67, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/seq-nobro-iter01500.result.csv, 200, 26.49, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/seq-nobro-iter02000.result.csv, 200, 35.30, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/seq-nobro-iter02500.result.csv, 200, 44.11, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/seq-nobro-iter03000.result.csv, 200, 52.92, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/seq-nobro-iter03500.result.csv, 200, 61.73, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/seq-nobro-iter04000.result.csv, 200, 70.52, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/seq-nobro-iter04500.result.csv, 200, 79.32, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/seq-nobro-iter05000.result.csv, 200, 88.31, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/seq-nobro-iter05500.result.csv, 200, 97.22, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/seq-nobro-iter06000.result.csv, 200, 106.02, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/seq-nobro-iter06500.result.csv, 200, 114.88, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/seq-nobro-iter07000.result.csv, 200, 123.66, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/seq-nobro-iter07500.result.csv, 200, 132.50, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/seq-nobro-iter08000.result.csv, 200, 141.32, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/seq-nobro-iter08500.result.csv, 200, 150.10, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/seq-nobro-iter09000.result.csv, 200, 158.89, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/seq-nobro-iter09500.result.csv, 200, 167.69, 0.00, 0.00, 0.00, 0.00
runs/src2-tgt1/seq-nobro-iter10000.result.csv, 200, 176.47, 0.00, 0.00, 0.00, 0.00
