SOURCE,SOURCE_BRO,TARGET,TARGET_BRO,MODE,EPOCHS,ITER,SIZE,seconds,sourcecpu,sourcemem,targetcpu,targetmem
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.71,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.71,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.65,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.75,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.75,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.81,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.81,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.91,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.92,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.68,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.67,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.62,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.63,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.83,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.83,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.74,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.74,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.72,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.72,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.71,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.71,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.67,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.67,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.59,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.58,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.7,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.7,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.59,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.59,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.58,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.58,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.7,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.7,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.63,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.63,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.54,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.53,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.72,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.72,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.74,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.73,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.57,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.57,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.75,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.74,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.69,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.69,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.78,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.78,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.49,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.49,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.73,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.73,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.78,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.78,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.75,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.75,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.59,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.6,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.55,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.56,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.74,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.74,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,7000,5,123.8,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,7000,5,123.8,0.0,0.0,0.0,0.0
