file_bro, total_nobro, total_bro, avgsec_nobro, avgsec_bro, avgsec_diff, statistic, pvalue, avgsrccpu, avgsrcmem, avgtgtcpu, avgtgtmem
runs/src2-tgt1/seq-bro-iter00100.result.csv, 200, 200, 1.76, 1.77, 0.01, -7.59, 0.00000, 7.26, 37285.28, 9.41, 39475.96
runs/src2-tgt1/seq-bro-iter00200.result.csv, 200, 200, 3.53, 3.56, 0.03, -12.59, 0.00000, 8.52, 46369.11, 11.89, 48998.96
runs/src2-tgt1/seq-bro-iter00300.result.csv, 200, 200, 5.30, 5.34, 0.05, -17.45, 0.00000, 10.12, 49321.80, 13.72, 53609.88
runs/src2-tgt1/seq-bro-iter00400.result.csv, 200, 200, 7.07, 7.13, 0.06, -19.98, 0.00000, 10.40, 53128.91, 14.17, 57098.55
runs/src2-tgt1/seq-bro-iter00500.result.csv, 200, 200, 8.83, 8.90, 0.07, -20.86, 0.00000, 10.58, 54223.45, 14.37, 58775.18
runs/src2-tgt1/seq-bro-iter00600.result.csv, 200, 200, 10.60, 10.69, 0.09, -21.42, 0.00000, 10.84, 54624.44, 14.75, 58409.33
runs/src2-tgt1/seq-bro-iter00700.result.csv, 200, 200, 12.37, 12.48, 0.12, -27.01, 0.00000, 11.13, 56104.35, 15.47, 60963.35
runs/src2-tgt1/seq-bro-iter00800.result.csv, 200, 200, 14.13, 14.27, 0.15, -29.00, 0.00000, 11.26, 56795.33, 15.35, 59966.45
runs/src2-tgt1/seq-bro-iter00900.result.csv, 200, 200, 15.90, 16.06, 0.16, -29.84, 0.00000, 11.32, 56459.54, 15.74, 64175.45
runs/src2-tgt1/seq-bro-iter01000.result.csv, 200, 200, 17.67, 17.83, 0.17, -31.78, 0.00000, 11.39, 56077.02, 15.75, 62154.88
runs/src2-tgt1/seq-bro-iter01500.result.csv, 200, 200, 26.49, 26.79, 0.30, -46.48, 0.00000, 11.59, 58043.23, 16.22, 64321.47
runs/src2-tgt1/seq-bro-iter02000.result.csv, 200, 200, 35.30, 35.67, 0.37, -51.29, 0.00000, 11.87, 58726.86, 16.94, 65259.75
runs/src2-tgt1/seq-bro-iter02500.result.csv, 200, 200, 44.11, 44.64, 0.53, -66.81, 0.00000, 11.91, 59938.84, 16.67, 65972.41
runs/src2-tgt1/seq-bro-iter03000.result.csv, 200, 200, 52.92, 53.56, 0.64, -70.52, 0.00000, 12.07, 59649.67, 17.08, 64401.11
runs/src2-tgt1/seq-bro-iter03500.result.csv, 200, 200, 61.73, 62.48, 0.75, -68.33, 0.00000, 12.08, 60858.02, 16.86, 64472.95
runs/src2-tgt1/seq-bro-iter04000.result.csv, 200, 200, 70.52, 71.40, 0.88, -79.36, 0.00000, 12.10, 60049.92, 17.11, 66719.77
runs/src2-tgt1/seq-bro-iter04500.result.csv, 200, 200, 79.32, 80.31, 0.99, -78.37, 0.00000, 12.16, 61042.62, 17.11, 66996.75
runs/src2-tgt1/seq-bro-iter05000.result.csv, 200, 200, 88.31, 89.30, 0.98, -62.06, 0.00000, 12.12, 59158.35, 16.91, 65002.85
runs/src2-tgt1/seq-bro-iter05500.result.csv, 200, 200, 97.22, 98.23, 1.01, -83.22, 0.00000, 12.14, 60391.44, 17.20, 67109.57
runs/src2-tgt1/seq-bro-iter06000.result.csv, 200, 200, 106.02, 107.18, 1.15, -73.68, 0.00000, 12.24, 60425.87, 16.92, 67185.31
runs/src2-tgt1/seq-bro-iter06500.result.csv, 200, 200, 114.88, 116.16, 1.27, -84.76, 0.00000, 12.21, 60554.98, 17.09, 65408.53
runs/src2-tgt1/seq-bro-iter07000.result.csv, 200, 200, 123.66, 125.08, 1.41, -86.40, 0.00000, 12.18, 60760.18, 17.20, 67301.23
runs/src2-tgt1/seq-bro-iter07500.result.csv, 200, 200, 132.50, 134.06, 1.55, -86.92, 0.00000, 12.15, 61631.12, 17.25, 67375.01
runs/src2-tgt1/seq-bro-iter08000.result.csv, 200, 200, 141.32, 142.96, 1.65, -93.59, 0.00000, 12.42, 60698.61, 17.24, 65572.13
runs/src2-tgt1/seq-bro-iter08500.result.csv, 200, 200, 150.10, 151.97, 1.87, -82.54, 0.00000, 12.17, 61545.73, 17.40, 65493.57
runs/src2-tgt1/seq-bro-iter09000.result.csv, 200, 200, 158.89, 161.05, 2.17, -101.32, 0.00000, 12.16, 61698.15, 17.52, 65705.52
runs/src2-tgt1/seq-bro-iter09500.result.csv, 200, 200, 167.69, 169.89, 2.20, -93.04, 0.00000, 12.23, 61753.50, 17.01, 65584.20
runs/src2-tgt1/seq-bro-iter10000.result.csv, 200, 200, 176.47, 178.83, 2.35, -102.08, 0.00000, 12.35, 60854.55, 17.54, 67835.71
